BiochemicalReaction1	Pro-EGF is cleaved to form mature EGF	Protein1	Protein2	
BiochemicalReaction461	PRLR is phosphorylated at Ser-349	SmallMolecule2	SmallMolecule3	
BiochemicalReaction461	PRLR is phosphorylated at Ser-349	Complex616	SmallMolecule3	
BiochemicalReaction462	PRLR binds SCF beta-TrCP complex	Complex612	Complex611	
BiochemicalReaction462	PRLR binds SCF beta-TrCP complex	Complex615	Complex611	
BiochemicalReaction463	Prolactin receptor is internalized	Complex611	Complex615	
BiochemicalReaction463	Prolactin receptor is internalized	Complex611	Complex638	
BiochemicalReaction464	ERBB4 binds WWP1/ITCH ubiquitin ligases	Protein948	Complex641	
BiochemicalReaction464	ERBB4 binds WWP1/ITCH ubiquitin ligases	PhysicalEntity33	Complex641	
BiochemicalReaction465	ERBB4 ubiquitination by WWP1/ITCH	Protein281	Complex642	
BiochemicalReaction465	ERBB4 ubiquitination by WWP1/ITCH	Complex641	Complex642	
BiochemicalReaction466	NEDD4 binds ERBB4jmAcyt1s80 dimer	Protein951	Complex643	
BiochemicalReaction466	NEDD4 binds ERBB4jmAcyt1s80 dimer	Complex585	Complex643	
BiochemicalReaction467	NEDD4 ubiquitinates ERBB4jmAcyt1s80 dimer	Protein281	Complex644	
BiochemicalReaction467	NEDD4 ubiquitinates ERBB4jmAcyt1s80 dimer	Complex643	Complex644	
BiochemicalReaction468	GEFs activate Rho GTPase:GDP	Complex645	Complex646	
BiochemicalReaction468	GEFs activate Rho GTPase:GDP	SmallMolecule17	Complex646	
BiochemicalReaction468	GEFs activate Rho GTPase:GDP	SmallMolecule17	SmallMolecule18	
BiochemicalReaction468	GEFs activate Rho GTPase:GDP	Complex645	SmallMolecule18	
BiochemicalReaction469	Rho GTPase:GTP activates downstream effectors	Complex646	Complex647	
BiochemicalReaction469	Rho GTPase:GTP activates downstream effectors	PhysicalEntity35	Complex647	
BiochemicalReaction47	Dimerisation of phospho-ERK-2	Protein93	Complex55	
BiochemicalReaction470	GAPs inactivate Rho GTPase:GTP by hydrolysis	Complex646	Complex645	
BiochemicalReaction470	GAPs inactivate Rho GTPase:GTP by hydrolysis	Complex646	SmallMolecule21	
BiochemicalReaction471	GDIs block activation of Rho GTPase:GDP	Protein1033	Complex648	
BiochemicalReaction471	GDIs block activation of Rho GTPase:GDP	Complex645	Complex648	
BiochemicalReaction472	Dissociation of Rho GTP:GDP from GDI complex	Complex648	Complex649	
BiochemicalReaction472	Dissociation of Rho GTP:GDP from GDI complex	Complex648	Protein1033	
BiochemicalReaction473	The ligand trap binds the ligand BMP2, blocking BMP signalling	Protein1057	Complex651	
BiochemicalReaction473	The ligand trap binds the ligand BMP2, blocking BMP signalling	Complex650	Complex651	
BiochemicalReaction474	Formation of a heteromeric BMP receptor complex	Complex653	Complex654	
BiochemicalReaction474	Formation of a heteromeric BMP receptor complex	Complex652	Complex654	
BiochemicalReaction475	BMP2 binds to the receptor complex	Complex650	Complex655	
BiochemicalReaction475	BMP2 binds to the receptor complex	Complex654	Complex655	
BiochemicalReaction476	Type II receptor phosphorylates type I receptor	SmallMolecule2	Complex656	
BiochemicalReaction476	Type II receptor phosphorylates type I receptor	Complex655	Complex656	
BiochemicalReaction476	Type II receptor phosphorylates type I receptor	Complex655	SmallMolecule3	
BiochemicalReaction476	Type II receptor phosphorylates type I receptor	SmallMolecule2	SmallMolecule3	
BiochemicalReaction477	An anchoring protein, Endofin, recruits R-Smad1/5/8	Protein1075	Complex658	
BiochemicalReaction477	An anchoring protein, Endofin, recruits R-Smad1/5/8	Protein1074	Complex658	
BiochemicalReaction477	An anchoring protein, Endofin, recruits R-Smad1/5/8	Complex656	Complex658	
BiochemicalReaction478	I-Smad binds to type I receptor, preventing Smad1/5/8 from being activated	Complex659	Complex660	
BiochemicalReaction478	I-Smad binds to type I receptor, preventing Smad1/5/8 from being activated	Complex656	Complex660	
BiochemicalReaction479	Activated type I receptor phosphorylates R-Smad1/5/8 directly	Complex658	Complex661	
BiochemicalReaction479	Activated type I receptor phosphorylates R-Smad1/5/8 directly	SmallMolecule2	Complex661	
BiochemicalReaction479	Activated type I receptor phosphorylates R-Smad1/5/8 directly	SmallMolecule2	SmallMolecule3	
BiochemicalReaction479	Activated type I receptor phosphorylates R-Smad1/5/8 directly	Complex658	SmallMolecule3	
BiochemicalReaction48	Nuclear translocation of phospho-ERK-2 dimer	Complex55	Complex56	
BiochemicalReaction480	Phospho-R-Smad1/5/8 dissociates from the receptor complex	Complex661	Protein1085	
BiochemicalReaction480	Phospho-R-Smad1/5/8 dissociates from the receptor complex	Complex661	Complex662	
BiochemicalReaction481	I-Smad competes with Co-Smad for R-Smad1/5/8	Protein1082	Complex663	
BiochemicalReaction481	I-Smad competes with Co-Smad for R-Smad1/5/8	Protein1085	Complex663	
BiochemicalReaction482	Phospho-R-Smad1/5/8 forms a complex with Co-Smad	Protein1089	Complex664	
BiochemicalReaction482	Phospho-R-Smad1/5/8 forms a complex with Co-Smad	Protein1085	Complex664	
BiochemicalReaction483	The phospho-R-Smad1/5/8:Co-Smad transfers to the nucleus	Complex664	Complex665	
BiochemicalReaction484	SKI complexes with the Smad complex, suppressing BMP2 signalling	Protein1098	Complex666	
BiochemicalReaction484	SKI complexes with the Smad complex, suppressing BMP2 signalling	Complex665	Complex666	
BiochemicalReaction485	I-Smad competes with R-Smad1/5/8 for type I receptor	Protein1082	Complex667	
BiochemicalReaction485	I-Smad competes with R-Smad1/5/8 for type I receptor	Complex656	Complex667	
BiochemicalReaction486	Latent TGF-beta-1 is cleaved by furin	Complex668	Complex669	
BiochemicalReaction487	Secretion and activation of the latent large complex of TGF-beta-1	Complex669	Complex670	
BiochemicalReaction488	Dimeric TGFB1 binds to TGFBR2 homodimer	Protein1103	Complex671	
BiochemicalReaction488	Dimeric TGFB1 binds to TGFBR2 homodimer	Complex670	Complex671	
BiochemicalReaction489	TGFBR2 recruits TGFBR1	Complex671	Protein1105	
BiochemicalReaction489	TGFBR2 recruits TGFBR1	Complex673	Protein1105	
BiochemicalReaction489	TGFBR2 recruits TGFBR1	Complex673	Complex674	
BiochemicalReaction489	TGFBR2 recruits TGFBR1	Complex671	Complex674	
BiochemicalReaction49	SHC1 binds to the phosphorylated EGF receptor:ligand complex	Complex4	Complex57	
BiochemicalReaction49	SHC1 binds to the phosphorylated EGF receptor:ligand complex	Protein95	Complex57	
BiochemicalReaction490	TGFBR2 phosphorylates TGFBR1	SmallMolecule2	Complex676	
BiochemicalReaction490	TGFBR2 phosphorylates TGFBR1	Complex674	Complex676	
BiochemicalReaction490	TGFBR2 phosphorylates TGFBR1	Complex674	SmallMolecule3	
BiochemicalReaction490	TGFBR2 phosphorylates TGFBR1	SmallMolecule2	SmallMolecule3	
BiochemicalReaction491	An anchoring protein, ZFYVE9 (SARA), recruits SMAD2/3	Complex676	Complex678	
BiochemicalReaction491	An anchoring protein, ZFYVE9 (SARA), recruits SMAD2/3	Protein1107	Complex678	
BiochemicalReaction491	An anchoring protein, ZFYVE9 (SARA), recruits SMAD2/3	Protein1110	Complex678	
BiochemicalReaction492	Activated type I receptor phosphorylates SMAD2/3 directly	SmallMolecule2	Complex679	
BiochemicalReaction492	Activated type I receptor phosphorylates SMAD2/3 directly	Complex678	Complex679	
BiochemicalReaction492	Activated type I receptor phosphorylates SMAD2/3 directly	Complex678	SmallMolecule3	
BiochemicalReaction492	Activated type I receptor phosphorylates SMAD2/3 directly	SmallMolecule2	SmallMolecule3	
BiochemicalReaction493	Phosphorylated SMAD2/3 dissociates from TGFBR	Complex679	Complex680	
BiochemicalReaction493	Phosphorylated SMAD2/3 dissociates from TGFBR	Complex679	Protein1111	
BiochemicalReaction494	Phosphorylated SMAD2 and SMAD3 form a complex with SMAD4	Protein1089	Complex681	
BiochemicalReaction494	Phosphorylated SMAD2 and SMAD3 form a complex with SMAD4	Protein1111	Complex681	
BiochemicalReaction495	I-SMAD competes with SMAD2/3 for type I receptor (TGFBR1)	Protein1084	Complex682	
BiochemicalReaction495	I-SMAD competes with SMAD2/3 for type I receptor (TGFBR1)	Complex676	Complex682	
BiochemicalReaction496	STRAP binds phosphorylated TGF-beta receptor complex	Complex676	Complex683	
BiochemicalReaction496	STRAP binds phosphorylated TGF-beta receptor complex	Protein1114	Complex683	
BiochemicalReaction497	STRAP stabilizes interaction of activated TGF-beta receptor complex with SMAD7	Protein1084	Complex684	
BiochemicalReaction497	STRAP stabilizes interaction of activated TGF-beta receptor complex with SMAD7	Complex683	Complex684	
BiochemicalReaction498	BAMBI interferes with the interaction of type I receptor with type II receptor	Protein1084	Complex685	
BiochemicalReaction498	BAMBI interferes with the interaction of type I receptor with type II receptor	Complex676	Complex685	
BiochemicalReaction498	BAMBI interferes with the interaction of type I receptor with type II receptor	Protein1115	Complex685	
BiochemicalReaction499	SMAD7 recruits GADD34:PP1 to phosphorylated TGFBR	Complex682	Complex687	
BiochemicalReaction499	SMAD7 recruits GADD34:PP1 to phosphorylated TGFBR	Protein1110	Complex687	
BiochemicalReaction499	SMAD7 recruits GADD34:PP1 to phosphorylated TGFBR	Complex686	Complex687	
BiochemicalReaction5	Phosphorylation of EGFR by SRC kinase	SmallMolecule2	SmallMolecule3	
BiochemicalReaction5	Phosphorylation of EGFR by SRC kinase	Complex3	SmallMolecule3	
BiochemicalReaction5	Phosphorylation of EGFR by SRC kinase	Complex3	Complex4	
BiochemicalReaction5	Phosphorylation of EGFR by SRC kinase	SmallMolecule2	Complex4	
BiochemicalReaction50	SHC1 phosphorylation by phosphorylated EGFR	Complex57	SmallMolecule3	
BiochemicalReaction50	SHC1 phosphorylation by phosphorylated EGFR	SmallMolecule2	SmallMolecule3	
BiochemicalReaction50	SHC1 phosphorylation by phosphorylated EGFR	SmallMolecule2	Complex58	
BiochemicalReaction50	SHC1 phosphorylation by phosphorylated EGFR	Complex57	Complex58	
BiochemicalReaction500	PP1 dephosphorylates TGFBR1	Complex687	Protein1084	
BiochemicalReaction500	PP1 dephosphorylates TGFBR1	SmallMolecule5	Protein1084	
BiochemicalReaction500	PP1 dephosphorylates TGFBR1	SmallMolecule5	Complex688	
BiochemicalReaction500	PP1 dephosphorylates TGFBR1	Complex687	Complex688	
BiochemicalReaction500	PP1 dephosphorylates TGFBR1	SmallMolecule5	SmallMolecule21	
BiochemicalReaction500	PP1 dephosphorylates TGFBR1	Complex687	SmallMolecule21	
BiochemicalReaction500	PP1 dephosphorylates TGFBR1	SmallMolecule5	Protein1110	
BiochemicalReaction500	PP1 dephosphorylates TGFBR1	Complex687	Protein1110	
BiochemicalReaction500	PP1 dephosphorylates TGFBR1	SmallMolecule5	Complex686	
BiochemicalReaction500	PP1 dephosphorylates TGFBR1	Complex687	Complex686	
BiochemicalReaction501	SMAD7 binds to SMURF2	Protein1122	Complex689	
BiochemicalReaction501	SMAD7 binds to SMURF2	Protein1121	Complex689	
BiochemicalReaction502	SMAD7:SMURF2 complex translocates to the cytosol	Complex689	Complex690	
BiochemicalReaction503	SMAD7 binds to SMURF1	Protein1123	Complex691	
BiochemicalReaction503	SMAD7 binds to SMURF1	Protein1121	Complex691	
BiochemicalReaction504	SMAD7:SMURF1 complex binds XPO1 (CRM1)	Protein1124	Complex692	
BiochemicalReaction504	SMAD7:SMURF1 complex binds XPO1 (CRM1)	Complex691	Complex692	
BiochemicalReaction505	SMAD7:SMURF1 complex is exported to the cytosol	Complex692	Protein1125	
BiochemicalReaction505	SMAD7:SMURF1 complex is exported to the cytosol	Complex692	Complex693	
BiochemicalReaction506	NEDD4L ubiquitin ligase binds SMAD7	Protein1121	Complex694	
BiochemicalReaction506	NEDD4L ubiquitin ligase binds SMAD7	Protein1126	Complex694	
BiochemicalReaction507	SMAD7:NEDD4L complex translocates to the cytosol	Complex694	Complex695	
BiochemicalReaction508	SMAD7:SMURF complex binds to phosphorylated TGFBR1	Complex676	Complex697	
BiochemicalReaction508	SMAD7:SMURF complex binds to phosphorylated TGFBR1	Complex696	Complex697	
BiochemicalReaction509	SMURFs/NEDD4L ubiquitinate phosphorylated TGFBR1 and SMAD7	Protein281	Protein1128	
BiochemicalReaction509	SMURFs/NEDD4L ubiquitinate phosphorylated TGFBR1 and SMAD7	Complex697	Protein1128	
BiochemicalReaction509	SMURFs/NEDD4L ubiquitinate phosphorylated TGFBR1 and SMAD7	Complex697	Complex698	
BiochemicalReaction509	SMURFs/NEDD4L ubiquitinate phosphorylated TGFBR1 and SMAD7	Protein281	Complex698	
BiochemicalReaction51	GRB2:SOS1 binds to phosphorylated SHC1 in complex with EGFR	Complex58	Complex59	
BiochemicalReaction51	GRB2:SOS1 binds to phosphorylated SHC1 in complex with EGFR	Complex28	Complex59	
BiochemicalReaction510	UCHL5 binds SMAD7 in complex with ubiquitinated TGFBR1	Protein1129	Complex699	
BiochemicalReaction510	UCHL5 binds SMAD7 in complex with ubiquitinated TGFBR1	Complex698	Complex699	
BiochemicalReaction511	UCHL5 or USP15 deubiquitinates TGFBR1	SmallMolecule5	Protein1129	
BiochemicalReaction511	UCHL5 or USP15 deubiquitinates TGFBR1	Complex699	Protein1129	
BiochemicalReaction511	UCHL5 or USP15 deubiquitinates TGFBR1	Complex699	Protein281	
BiochemicalReaction511	UCHL5 or USP15 deubiquitinates TGFBR1	SmallMolecule5	Protein281	
BiochemicalReaction511	UCHL5 or USP15 deubiquitinates TGFBR1	Complex699	Complex700	
BiochemicalReaction511	UCHL5 or USP15 deubiquitinates TGFBR1	SmallMolecule5	Complex700	
BiochemicalReaction512	SMURF2 binds SMAD2	Protein1080	Complex701	
BiochemicalReaction512	SMURF2 binds SMAD2	Protein1108	Complex701	
BiochemicalReaction513	SMURF2 ubiquitinates SMAD2	Protein281	Protein1080	
BiochemicalReaction513	SMURF2 ubiquitinates SMAD2	Complex701	Protein1080	
BiochemicalReaction513	SMURF2 ubiquitinates SMAD2	Complex701	Complex702	
BiochemicalReaction513	SMURF2 ubiquitinates SMAD2	Protein281	Complex702	
BiochemicalReaction514	SMAD3 binds STUB1 (CHIP)	Protein1109	Complex703	
BiochemicalReaction514	SMAD3 binds STUB1 (CHIP)	Protein902	Complex703	
BiochemicalReaction515	STUB1 (CHIP) ubiquitinates SMAD3	Protein281	Protein902	
BiochemicalReaction515	STUB1 (CHIP) ubiquitinates SMAD3	Complex703	Protein902	
BiochemicalReaction515	STUB1 (CHIP) ubiquitinates SMAD3	Complex703	Complex704	
BiochemicalReaction515	STUB1 (CHIP) ubiquitinates SMAD3	Protein281	Complex704	
BiochemicalReaction516	PMEPA1 sequesters phosphorylated SMAD2/3	Protein1111	Complex705	
BiochemicalReaction516	PMEPA1 sequesters phosphorylated SMAD2/3	Protein1132	Complex705	
BiochemicalReaction517	PMEPA1 sequesters unphosphorylated SMAD2/3	Protein1107	Complex706	
BiochemicalReaction517	PMEPA1 sequesters unphosphorylated SMAD2/3	Protein1133	Complex706	
BiochemicalReaction518	MTMR4 binds phosphorylated SMAD2/3	Protein1111	Complex707	
BiochemicalReaction518	MTMR4 binds phosphorylated SMAD2/3	Protein1134	Complex707	
BiochemicalReaction519	MTMR4 dephosphorylates SMAD2/3	SmallMolecule5	SmallMolecule21	
BiochemicalReaction519	MTMR4 dephosphorylates SMAD2/3	Complex707	SmallMolecule21	
BiochemicalReaction519	MTMR4 dephosphorylates SMAD2/3	Complex707	Protein1107	
BiochemicalReaction519	MTMR4 dephosphorylates SMAD2/3	SmallMolecule5	Protein1107	
BiochemicalReaction519	MTMR4 dephosphorylates SMAD2/3	Complex707	Protein1134	
BiochemicalReaction519	MTMR4 dephosphorylates SMAD2/3	SmallMolecule5	Protein1134	
BiochemicalReaction52	SOS1-mediated nucleotide exchange of RAS (EGF:EGFR:SHC1:GRB2:SOS1)	SmallMolecule17	Complex31	
BiochemicalReaction52	SOS1-mediated nucleotide exchange of RAS (EGF:EGFR:SHC1:GRB2:SOS1)	Complex30	Complex31	
BiochemicalReaction52	SOS1-mediated nucleotide exchange of RAS (EGF:EGFR:SHC1:GRB2:SOS1)	Complex30	SmallMolecule18	
BiochemicalReaction52	SOS1-mediated nucleotide exchange of RAS (EGF:EGFR:SHC1:GRB2:SOS1)	SmallMolecule17	SmallMolecule18	
BiochemicalReaction520	CBL binds TGFBR2	Protein1103	Complex708	
BiochemicalReaction520	CBL binds TGFBR2	Protein302	Complex708	
BiochemicalReaction521	CBL neddylates TGFBR2	Complex709	Protein1140	
BiochemicalReaction521	CBL neddylates TGFBR2	Complex708	Protein1140	
BiochemicalReaction521	CBL neddylates TGFBR2	Complex708	Complex710	
BiochemicalReaction521	CBL neddylates TGFBR2	Complex709	Complex710	
BiochemicalReaction521	CBL neddylates TGFBR2	Complex708	Protein302	
BiochemicalReaction521	CBL neddylates TGFBR2	Complex709	Protein302	
BiochemicalReaction522	TGFBR1 is recruited to tight junctions by PARD6A	Complex711	Complex713	
BiochemicalReaction522	TGFBR1 is recruited to tight junctions by PARD6A	Complex673	Complex713	
BiochemicalReaction523	TGFBR2 is recruited to tight junctions after TGF-beta stimulation	Complex671	Protein1105	
BiochemicalReaction523	TGFBR2 is recruited to tight junctions after TGF-beta stimulation	Complex713	Protein1105	
BiochemicalReaction523	TGFBR2 is recruited to tight junctions after TGF-beta stimulation	Complex713	Complex714	
BiochemicalReaction523	TGFBR2 is recruited to tight junctions after TGF-beta stimulation	Complex671	Complex714	
BiochemicalReaction524	TGFBR2 phosphorylates TGFBR1 and PARD6A	SmallMolecule2	Complex715	
BiochemicalReaction524	TGFBR2 phosphorylates TGFBR1 and PARD6A	Complex714	Complex715	
BiochemicalReaction524	TGFBR2 phosphorylates TGFBR1 and PARD6A	Complex714	SmallMolecule3	
BiochemicalReaction524	TGFBR2 phosphorylates TGFBR1 and PARD6A	SmallMolecule2	SmallMolecule3	
BiochemicalReaction525	SMURF1 binds phosphorylated PARD6A	Protein1081	Complex718	
BiochemicalReaction525	SMURF1 binds phosphorylated PARD6A	Complex715	Complex718	
BiochemicalReaction526	SMURF1 ubiquitinates RHOA	Complex718	Complex719	
BiochemicalReaction526	SMURF1 ubiquitinates RHOA	Protein281	Complex719	
BiochemicalReaction527	Disassembly of tight junctions	Complex719	NA	
BiochemicalReaction528	The SMAD2/3:SMAD4 complex transfers to the nucleus	Complex681	Complex720	
BiochemicalReaction529	Phosphorylation of SMAD2 and SMAD3 linker regions by CDK8 or CDK9	Complex720	Complex721	
BiochemicalReaction529	Phosphorylation of SMAD2 and SMAD3 linker regions by CDK8 or CDK9	SmallMolecule13	Complex721	
BiochemicalReaction529	Phosphorylation of SMAD2 and SMAD3 linker regions by CDK8 or CDK9	SmallMolecule13	SmallMolecule14	
BiochemicalReaction529	Phosphorylation of SMAD2 and SMAD3 linker regions by CDK8 or CDK9	Complex720	SmallMolecule14	
BiochemicalReaction53	Binding of GRB2 to GAB1	Protein97	Complex60	
BiochemicalReaction53	Binding of GRB2 to GAB1	Protein62	Complex60	
BiochemicalReaction530	WWTR1 binds SMAD2/3:SMAD4 heterotrimer	Protein1160	Complex725	
BiochemicalReaction530	WWTR1 binds SMAD2/3:SMAD4 heterotrimer	Complex681	Complex725	
BiochemicalReaction531	WWTR1:SMAD translocates to the nucleus	Complex725	Complex726	
BiochemicalReaction532	WWTR1:SMAD stimulates transcription of SMAD7	Dna1	Protein1121	
BiochemicalReaction533	WWTR1:SMAD stimulates transcription of SERPINE1 while TGIF:SMAD and SMAD7 inhibit it	Dna2	Protein1162	
BiochemicalReaction534	RNF111 binds SMAD7	Protein1166	Complex728	
BiochemicalReaction534	RNF111 binds SMAD7	Protein1121	Complex728	
BiochemicalReaction535	RNF111 ubiquitinates SMAD7	Complex728	Protein1166	
BiochemicalReaction535	RNF111 ubiquitinates SMAD7	Protein542	Protein1166	
BiochemicalReaction535	RNF111 ubiquitinates SMAD7	Protein542	Complex729	
BiochemicalReaction535	RNF111 ubiquitinates SMAD7	Complex728	Complex729	
BiochemicalReaction536	SMAD2/3:SMAD4 heterotrimer forms a complex with RBL1, E2F4/5 and DP1/2	Complex730	Complex731	
BiochemicalReaction536	SMAD2/3:SMAD4 heterotrimer forms a complex with RBL1, E2F4/5 and DP1/2	Complex720	Complex731	
BiochemicalReaction537	MYC trancscription is negatively regulated by SMAD2/3:SMAD4:RBL1:E2F4/5:DP1/2 complex	Dna3	Protein1174	
BiochemicalReaction538	SMAD2/3:SMAD4 heterotrimer binds SP1	Complex720	Complex732	
BiochemicalReaction538	SMAD2/3:SMAD4 heterotrimer binds SP1	Protein1175	Complex732	
BiochemicalReaction539	SMAD2/3:SMAD4:SP1 complex stimulates transcription of CDKN2B	Dna4	Protein1176	
BiochemicalReaction54	Binding of PIK3 regulatory alpha subunit to GRB2:GAB1	Protein98	Complex61	
BiochemicalReaction54	Binding of PIK3 regulatory alpha subunit to GRB2:GAB1	Complex60	Complex61	
BiochemicalReaction540	MEN1 binds SMAD2/3:SMAD4 heterotrimer	Complex720	Complex733	
BiochemicalReaction540	MEN1 binds SMAD2/3:SMAD4 heterotrimer	Protein1177	Complex733	
BiochemicalReaction541	SMAD2/3:SMAD4 complex positively regulates JUNB transcription	Dna5	Protein1178	
BiochemicalReaction542	SKI/SKIL binds SMAD complex, suppressing TGF-beta signaling	Complex720	Complex734	
BiochemicalReaction542	SKI/SKIL binds SMAD complex, suppressing TGF-beta signaling	Protein1179	Complex734	
BiochemicalReaction542	SKI/SKIL binds SMAD complex, suppressing TGF-beta signaling	Protein1181	Complex734	
BiochemicalReaction543	SMAD2/3 activation induces binding of RNF111/SMURF2 to SKI/SKIL	Complex734	Complex735	
BiochemicalReaction543	SMAD2/3 activation induces binding of RNF111/SMURF2 to SKI/SKIL	Protein1183	Complex735	
BiochemicalReaction544	Ubiquitination of SKI/SKIL by RNF111/SMURF2	Protein542	Complex736	
BiochemicalReaction544	Ubiquitination of SKI/SKIL by RNF111/SMURF2	Complex735	Complex736	
BiochemicalReaction544	Ubiquitination of SKI/SKIL by RNF111/SMURF2	Complex735	Complex720	
BiochemicalReaction544	Ubiquitination of SKI/SKIL by RNF111/SMURF2	Protein542	Complex720	
BiochemicalReaction544	Ubiquitination of SKI/SKIL by RNF111/SMURF2	Complex735	Protein1179	
BiochemicalReaction544	Ubiquitination of SKI/SKIL by RNF111/SMURF2	Protein542	Protein1179	
BiochemicalReaction544	Ubiquitination of SKI/SKIL by RNF111/SMURF2	Complex735	Protein1183	
BiochemicalReaction544	Ubiquitination of SKI/SKIL by RNF111/SMURF2	Protein542	Protein1183	
BiochemicalReaction545	TRIM33 (Ectodermin) binds SMAD heterotrimer in the nucleus	Complex720	Complex737	
BiochemicalReaction545	TRIM33 (Ectodermin) binds SMAD heterotrimer in the nucleus	Protein1184	Complex737	
BiochemicalReaction546	TRIM33 monoubiquitinates SMAD4	Protein542	Protein1149	
BiochemicalReaction546	TRIM33 monoubiquitinates SMAD4	Complex737	Protein1149	
BiochemicalReaction546	TRIM33 monoubiquitinates SMAD4	Complex737	Protein1184	
BiochemicalReaction546	TRIM33 monoubiquitinates SMAD4	Protein542	Protein1184	
BiochemicalReaction546	TRIM33 monoubiquitinates SMAD4	Complex737	Complex738	
BiochemicalReaction546	TRIM33 monoubiquitinates SMAD4	Protein542	Complex738	
BiochemicalReaction547	Ubiquitinated SMAD4 translocates from the nucleus to the cytosol	Complex738	Complex739	
BiochemicalReaction548	USP9X (FAM) binds to ubiquitinated SMAD4	Protein1185	Complex740	
BiochemicalReaction548	USP9X (FAM) binds to ubiquitinated SMAD4	Complex739	Complex740	
BiochemicalReaction549	USP9X (FAM) deubiquitinates SMAD4	SmallMolecule5	Protein1089	
BiochemicalReaction549	USP9X (FAM) deubiquitinates SMAD4	Complex740	Protein1089	
BiochemicalReaction549	USP9X (FAM) deubiquitinates SMAD4	Complex740	Protein281	
BiochemicalReaction549	USP9X (FAM) deubiquitinates SMAD4	SmallMolecule5	Protein281	
BiochemicalReaction549	USP9X (FAM) deubiquitinates SMAD4	Complex740	Protein1185	
BiochemicalReaction549	USP9X (FAM) deubiquitinates SMAD4	SmallMolecule5	Protein1185	
BiochemicalReaction55	GRB2:GAB1:PIK3R1 binds to phosphorylated EGFR	Complex61	Complex62	
BiochemicalReaction55	GRB2:GAB1:PIK3R1 binds to phosphorylated EGFR	Complex4	Complex62	
BiochemicalReaction550	NEDD4L binds phosphorylated linker region of SMAD2/3	Protein1126	Complex741	
BiochemicalReaction550	NEDD4L binds phosphorylated linker region of SMAD2/3	Complex721	Complex741	
BiochemicalReaction551	NEDD4L ubiquitinates SMAD2/3	Protein542	Complex742	
BiochemicalReaction551	NEDD4L ubiquitinates SMAD2/3	Complex741	Complex742	
BiochemicalReaction551	NEDD4L ubiquitinates SMAD2/3	Complex741	Protein1126	
BiochemicalReaction551	NEDD4L ubiquitinates SMAD2/3	Protein542	Protein1126	
BiochemicalReaction552	SMURF2 binds SMAD3 phosphorylated in the linker region	Protein1122	Complex743	
BiochemicalReaction552	SMURF2 binds SMAD3 phosphorylated in the linker region	Complex721	Complex743	
BiochemicalReaction553	SMURF2 monoubiquitinates SMAD3	Protein542	Protein1122	
BiochemicalReaction553	SMURF2 monoubiquitinates SMAD3	Complex743	Protein1122	
BiochemicalReaction553	SMURF2 monoubiquitinates SMAD3	Complex743	Complex744	
BiochemicalReaction553	SMURF2 monoubiquitinates SMAD3	Protein542	Complex744	
BiochemicalReaction553	SMURF2 monoubiquitinates SMAD3	Complex743	Protein1094	
BiochemicalReaction553	SMURF2 monoubiquitinates SMAD3	Protein542	Protein1094	
BiochemicalReaction554	TGIF recruits HDAC1 to SMAD2/3:SMAD4 heterotrimer	Protein1163	Complex727	
BiochemicalReaction554	TGIF recruits HDAC1 to SMAD2/3:SMAD4 heterotrimer	Complex720	Complex727	
BiochemicalReaction554	TGIF recruits HDAC1 to SMAD2/3:SMAD4 heterotrimer	Protein570	Complex727	
BiochemicalReaction555	PARP1 binds SMAD2/3:SMAD4 heterotrimer	Complex720	Complex745	
BiochemicalReaction555	PARP1 binds SMAD2/3:SMAD4 heterotrimer	Protein1186	Complex745	
BiochemicalReaction556	PARP1 ADP-ribosylates SMAD3 and SMAD4	SmallMolecule47	SmallMolecule48	
BiochemicalReaction556	PARP1 ADP-ribosylates SMAD3 and SMAD4	Complex745	SmallMolecule48	
BiochemicalReaction556	PARP1 ADP-ribosylates SMAD3 and SMAD4	Complex745	Complex746	
BiochemicalReaction556	PARP1 ADP-ribosylates SMAD3 and SMAD4	SmallMolecule47	Complex746	
BiochemicalReaction556	PARP1 ADP-ribosylates SMAD3 and SMAD4	Complex745	Protein1186	
BiochemicalReaction556	PARP1 ADP-ribosylates SMAD3 and SMAD4	SmallMolecule47	Protein1186	
BiochemicalReaction557	PPM1A protein phosphatase binds phosphorylated SMAD2/3	Complex720	Complex747	
BiochemicalReaction557	PPM1A protein phosphatase binds phosphorylated SMAD2/3	Protein1190	Complex747	
BiochemicalReaction558	PPM1A dephosphorylates nuclear SMAD2/3	SmallMolecule40	SmallMolecule41	
BiochemicalReaction558	PPM1A dephosphorylates nuclear SMAD2/3	Complex747	SmallMolecule41	
BiochemicalReaction558	PPM1A dephosphorylates nuclear SMAD2/3	Complex747	Protein1094	
BiochemicalReaction558	PPM1A dephosphorylates nuclear SMAD2/3	SmallMolecule40	Protein1094	
BiochemicalReaction558	PPM1A dephosphorylates nuclear SMAD2/3	Complex747	Protein1191	
BiochemicalReaction558	PPM1A dephosphorylates nuclear SMAD2/3	SmallMolecule40	Protein1191	
BiochemicalReaction558	PPM1A dephosphorylates nuclear SMAD2/3	Complex747	Protein1190	
BiochemicalReaction558	PPM1A dephosphorylates nuclear SMAD2/3	SmallMolecule40	Protein1190	
BiochemicalReaction559	Dephosphorylated SMAD2/3 translocates to the cytosol	Protein1191	Protein1107	
